Название угрозы,Отрасль компании,Кол-во сотрудников,Регион,Вероятность возникновения угрозы
Basic Web-API Attacks,Retail,2030,LAC,3
Privilege Misuse,Manufacturing,1199,EMEA,1
Denial of Service (DoS),Real Estate,2182,EMEA,1
Miscellaneous Errors,Healthcare,1321,LAC,1
Denial of Service (DoS),Utilities,975,EMEA,1
Privilege Misuse,Public Administration,2273,EMEA,4
Social Engineering,Finance,2610,EMEA,5
Basic Web-API Attacks,Finance,1181,LAC,1
Basic Web-API Attacks,Utilities,1321,NA,4
Miscellaneous Errors,Utilities,1388,APAC,1
Denial of Service (DoS),Healthcare,1257,EMEA,1
Denial of Service (DoS),Administrative,1767,NA,3
Social Engineering,Public Administration,2296,EMEA,2
Social Engineering,Utilities,240,APAC,4
System Intrusion,Public Administration,539,NA,2
Lost and Stolen Assets,Public Administration,2309,EMEA,1
Privilege Misuse,Utilities,126,EMEA,1
Privilege Misuse,Professional,2606,EMEA,3
System Intrusion,Utilities,2820,EMEA,2
Lost and Stolen Assets,Accommodation,2309,LAC,2
Basic Web-API Attacks,Accommodation,127,EMEA,3
Denial of Service (DoS),Transportation,546,EMEA,1
Denial of Service (DoS),Healthcare,690,EMEA,5
Miscellaneous Errors,Real Estate,2824,EMEA,2
Miscellaneous Errors,Transportation,1549,APAC,4
Lost and Stolen Assets,Transportation,1959,APAC,1
Lost and Stolen Assets,Transportation,864,LAC,4
Social Engineering,Information,961,APAC,3
Denial of Service (DoS),Real Estate,1120,EMEA,2
Lost and Stolen Assets,Utilities,177,EMEA,2
Miscellaneous Errors,Utilities,2665,NA,4
Privilege Misuse,Public Administration,1379,EMEA,4
Miscellaneous Errors,Entertainment,905,EMEA,3
Miscellaneous Errors,Entertainment,1952,EMEA,5
Social Engineering,Accommodation,1977,NA,1
Miscellaneous Errors,Transportation,781,EMEA,2
Privilege Misuse,Retail,1934,NA,4
Denial of Service (DoS),Construction,990,NA,5
Basic Web-API Attacks,Entertainment,475,NA,5
Privilege Misuse,Entertainment,1872,EMEA,3
Privilege Misuse,Utilities,1118,NA,1
Lost and Stolen Assets,Agriculture,1346,NA,1
Denial of Service (DoS),Agriculture,2808,EMEA,4
Denial of Service (DoS),Transportation,1825,NA,5
Denial of Service (DoS),Finance,552,EMEA,2
Lost and Stolen Assets,Wholesale Trade,244,APAC,1
Privilege Misuse,Mining,2246,APAC,5
Privilege Misuse,Mining,2829,NA,4
Miscellaneous Errors,Transportation,2051,APAC,5
Miscellaneous Errors,Retail,1812,EMEA,1
System Intrusion,Agriculture,2601,APAC,2
Lost and Stolen Assets,Information,2830,EMEA,1
Privilege Misuse,Wholesale Trade,2644,APAC,3
Miscellaneous Errors,Public Administration,1863,EMEA,4
System Intrusion,Wholesale Trade,1123,LAC,1
Basic Web-API Attacks,Healthcare,686,EMEA,1
Denial of Service (DoS),Retail,2177,NA,4
Miscellaneous Errors,Entertainment,1772,EMEA,1
Miscellaneous Errors,Transportation,334,EMEA,2
Privilege Misuse,Administrative,2519,NA,3
Social Engineering,Finance,1267,EMEA,5
Basic Web-API Attacks,Public Administration,2917,APAC,5
System Intrusion,Transportation,1168,APAC,1
Privilege Misuse,Accommodation,1152,NA,2
Social Engineering,Accommodation,1915,APAC,3
Privilege Misuse,Transportation,1033,APAC,5
Social Engineering,Public Administration,2602,LAC,4
System Intrusion,Retail,609,NA,4
Basic Web-API Attacks,Information,2985,APAC,4
Lost and Stolen Assets,Entertainment,2102,LAC,4
Lost and Stolen Assets,Retail,2608,APAC,1
Denial of Service (DoS),Agriculture,783,EMEA,4
Privilege Misuse,Transportation,755,APAC,4
Lost and Stolen Assets,Transportation,1866,LAC,3
System Intrusion,Professional,2376,NA,1
Privilege Misuse,Manufacturing,293,EMEA,4
System Intrusion,Information,1911,EMEA,5
Lost and Stolen Assets,Agriculture,407,APAC,1
Denial of Service (DoS),Transportation,2550,NA,4
Miscellaneous Errors,Public Administration,1279,APAC,4
Privilege Misuse,Wholesale Trade,1333,EMEA,4
Privilege Misuse,Retail,749,NA,3
Denial of Service (DoS),Utilities,1042,NA,4
Privilege Misuse,Public Administration,490,APAC,5
Lost and Stolen Assets,Transportation,1221,EMEA,3
Social Engineering,Utilities,566,EMEA,4
Lost and Stolen Assets,Public Administration,2029,APAC,5
Privilege Misuse,Manufacturing,2759,NA,3
Privilege Misuse,Utilities,2344,EMEA,4
Denial of Service (DoS),Professional,546,EMEA,3
Lost and Stolen Assets,Healthcare,735,EMEA,1
Denial of Service (DoS),Professional,2645,EMEA,1
Privilege Misuse,Transportation,2123,EMEA,1
Privilege Misuse,Real Estate,1408,NA,3
Basic Web-API Attacks,Utilities,2709,APAC,4
System Intrusion,Public Administration,1770,EMEA,3
Miscellaneous Errors,Agriculture,1978,APAC,5
System Intrusion,Retail,825,APAC,4
Privilege Misuse,Wholesale Trade,2049,EMEA,4
Social Engineering,Administrative,2572,APAC,5
Lost and Stolen Assets,Transportation,1160,LAC,3
Basic Web-API Attacks,Accommodation,405,EMEA,4
Privilege Misuse,Retail,1726,LAC,3
Social Engineering,Transportation,213,EMEA,4
System Intrusion,Manufacturing,2978,EMEA,4
Privilege Misuse,Agriculture,449,EMEA,3
Denial of Service (DoS),Real Estate,2249,APAC,3
Lost and Stolen Assets,Agriculture,1156,NA,3
Privilege Misuse,Transportation,935,EMEA,1
Lost and Stolen Assets,Manufacturing,364,EMEA,2
Social Engineering,Retail,2089,NA,5
Denial of Service (DoS),Administrative,449,NA,3
Miscellaneous Errors,Retail,1441,NA,2
Privilege Misuse,Information,1321,APAC,1
Privilege Misuse,Entertainment,2959,NA,1
Miscellaneous Errors,Manufacturing,1630,LAC,2
Miscellaneous Errors,Accommodation,1958,APAC,3
Social Engineering,Finance,2766,APAC,3
Social Engineering,Transportation,1141,APAC,3
Lost and Stolen Assets,Professional,440,EMEA,2
System Intrusion,Entertainment,1318,APAC,4
Privilege Misuse,Manufacturing,118,NA,2
System Intrusion,Utilities,226,NA,3
Miscellaneous Errors,Utilities,331,NA,2
Privilege Misuse,Entertainment,2811,APAC,4
Denial of Service (DoS),Healthcare,2572,EMEA,5
Privilege Misuse,Agriculture,2452,NA,4
Denial of Service (DoS),Real Estate,1860,NA,2
Basic Web-API Attacks,Finance,1906,EMEA,1
Privilege Misuse,Retail,1923,APAC,3
Social Engineering,Utilities,2820,EMEA,1
Privilege Misuse,Real Estate,1356,EMEA,3
Lost and Stolen Assets,Transportation,2217,EMEA,4
Lost and Stolen Assets,Healthcare,2532,EMEA,3
Lost and Stolen Assets,Transportation,628,EMEA,1
Denial of Service (DoS),Agriculture,760,EMEA,3
Basic Web-API Attacks,Retail,1284,LAC,3
Privilege Misuse,Finance,618,EMEA,2
Basic Web-API Attacks,Administrative,2884,APAC,4
Privilege Misuse,Public Administration,1345,EMEA,5
Privilege Misuse,Public Administration,2404,APAC,5
Miscellaneous Errors,Information,1821,APAC,4
Basic Web-API Attacks,Wholesale Trade,1475,NA,4
Basic Web-API Attacks,Public Administration,1372,EMEA,3
Miscellaneous Errors,Wholesale Trade,465,APAC,3
Denial of Service (DoS),Utilities,1670,NA,2
Denial of Service (DoS),Manufacturing,413,NA,4
Denial of Service (DoS),Professional,1650,NA,2
Basic Web-API Attacks,Real Estate,505,APAC,5
System Intrusion,Mining,318,NA,3
Denial of Service (DoS),Public Administration,1181,NA,4
Denial of Service (DoS),Utilities,1500,APAC,3
Denial of Service (DoS),Manufacturing,667,NA,5
Privilege Misuse,Retail,1229,NA,1
Basic Web-API Attacks,Manufacturing,830,EMEA,4
Basic Web-API Attacks,Public Administration,745,APAC,5
Basic Web-API Attacks,Public Administration,2859,EMEA,5
System Intrusion,Finance,2290,EMEA,3
Privilege Misuse,Accommodation,1729,APAC,2
System Intrusion,Public Administration,175,NA,1
Lost and Stolen Assets,Transportation,2600,NA,1
Social Engineering,Transportation,2465,EMEA,5
Basic Web-API Attacks,Public Administration,1030,NA,4
Denial of Service (DoS),Finance,1055,NA,3
Basic Web-API Attacks,Entertainment,1107,APAC,3
Miscellaneous Errors,Transportation,1866,APAC,4
Lost and Stolen Assets,Utilities,452,APAC,5
Denial of Service (DoS),Wholesale Trade,1370,NA,5
Basic Web-API Attacks,Retail,1537,NA,4
System Intrusion,Construction,1430,NA,5
Social Engineering,Information,1174,EMEA,3
Social Engineering,Utilities,2802,EMEA,3
Social Engineering,Utilities,2948,EMEA,2
System Intrusion,Agriculture,2779,APAC,4
Lost and Stolen Assets,Entertainment,915,EMEA,4
Social Engineering,Finance,1808,EMEA,1
System Intrusion,Transportation,242,NA,3
Social Engineering,Retail,2591,EMEA,4
Miscellaneous Errors,Information,2849,NA,2
Lost and Stolen Assets,Public Administration,272,NA,1
Basic Web-API Attacks,Retail,364,LAC,1
Miscellaneous Errors,Retail,1503,APAC,2
Lost and Stolen Assets,Finance,1377,LAC,1
Basic Web-API Attacks,Construction,1552,LAC,4
Social Engineering,Transportation,2348,APAC,3
Social Engineering,Utilities,887,NA,2
Privilege Misuse,Information,808,EMEA,1
System Intrusion,Administrative,2233,APAC,2
Privilege Misuse,Transportation,671,NA,3
Basic Web-API Attacks,Accommodation,1765,APAC,2
Basic Web-API Attacks,Wholesale Trade,1143,APAC,1
Miscellaneous Errors,Wholesale Trade,2450,LAC,1
System Intrusion,Information,2623,EMEA,4
Denial of Service (DoS),Wholesale Trade,2078,APAC,5
Social Engineering,Public Administration,393,NA,2
Social Engineering,Entertainment,213,EMEA,1
Denial of Service (DoS),Transportation,2553,NA,1
Basic Web-API Attacks,Administrative,2757,NA,1
Miscellaneous Errors,Transportation,2604,NA,1
Lost and Stolen Assets,Finance,2287,NA,3
Miscellaneous Errors,Real Estate,1641,LAC,3
Privilege Misuse,Real Estate,2986,NA,1
Basic Web-API Attacks,Retail,574,EMEA,4
Denial of Service (DoS),Transportation,188,EMEA,2
Basic Web-API Attacks,Utilities,1136,NA,1
Miscellaneous Errors,Utilities,1787,NA,3
Privilege Misuse,Administrative,679,APAC,1
Basic Web-API Attacks,Manufacturing,2208,APAC,5
Social Engineering,Professional,2424,NA,1
Miscellaneous Errors,Finance,2408,APAC,1
Privilege Misuse,Agriculture,2228,NA,1
Denial of Service (DoS),Utilities,579,LAC,1
Basic Web-API Attacks,Information,1246,EMEA,3
Lost and Stolen Assets,Administrative,2013,EMEA,1
Basic Web-API Attacks,Utilities,2951,NA,4
Basic Web-API Attacks,Manufacturing,398,NA,3
Miscellaneous Errors,Healthcare,1974,NA,1
Social Engineering,Real Estate,1196,NA,4
Lost and Stolen Assets,Entertainment,1533,APAC,2
Privilege Misuse,Wholesale Trade,185,APAC,1
Lost and Stolen Assets,Mining,639,EMEA,1
System Intrusion,Public Administration,2520,APAC,2
System Intrusion,Entertainment,2756,APAC,4
Denial of Service (DoS),Agriculture,1802,NA,1
Social Engineering,Retail,2115,APAC,4
Social Engineering,Transportation,931,EMEA,4
Social Engineering,Healthcare,1354,EMEA,2
System Intrusion,Public Administration,149,APAC,3
Basic Web-API Attacks,Agriculture,943,APAC,3
Lost and Stolen Assets,Retail,1695,NA,5
Lost and Stolen Assets,Administrative,1147,APAC,2
Miscellaneous Errors,Accommodation,1181,APAC,2
Privilege Misuse,Manufacturing,1673,NA,1
Privilege Misuse,Wholesale Trade,2214,NA,1
Lost and Stolen Assets,Entertainment,409,LAC,1
Miscellaneous Errors,Utilities,2873,EMEA,4
Lost and Stolen Assets,Utilities,2437,NA,1
Basic Web-API Attacks,Public Administration,2145,EMEA,1
Denial of Service (DoS),Construction,2458,NA,4
Lost and Stolen Assets,Manufacturing,831,NA,2
System Intrusion,Utilities,2932,APAC,1
System Intrusion,Healthcare,2340,EMEA,4
Social Engineering,Professional,1259,APAC,1
Privilege Misuse,Retail,110,NA,1
Basic Web-API Attacks,Retail,2070,NA,2
Social Engineering,Public Administration,297,EMEA,3
Social Engineering,Accommodation,1986,APAC,3
Basic Web-API Attacks,Real Estate,2352,EMEA,3
Denial of Service (DoS),Utilities,1488,APAC,2
Lost and Stolen Assets,Administrative,1902,EMEA,4
Basic Web-API Attacks,Utilities,2778,APAC,1
Social Engineering,Public Administration,116,APAC,2
Lost and Stolen Assets,Mining,1198,NA,1
System Intrusion,Public Administration,946,NA,5
Lost and Stolen Assets,Transportation,1082,EMEA,5
System Intrusion,Professional,2944,NA,3
Denial of Service (DoS),Utilities,242,APAC,4
Social Engineering,Entertainment,743,EMEA,3
Denial of Service (DoS),Healthcare,366,APAC,5
System Intrusion,Wholesale Trade,1723,APAC,3
Social Engineering,Retail,2799,APAC,5
Denial of Service (DoS),Manufacturing,2254,APAC,1
Miscellaneous Errors,Wholesale Trade,108,NA,4
Denial of Service (DoS),Public Administration,1244,APAC,5
Privilege Misuse,Mining,2745,EMEA,5
Social Engineering,Wholesale Trade,171,NA,2
Privilege Misuse,Transportation,1299,EMEA,3
Miscellaneous Errors,Public Administration,804,EMEA,4
Miscellaneous Errors,Real Estate,910,NA,4
Social Engineering,Healthcare,2119,NA,5
Basic Web-API Attacks,Real Estate,404,EMEA,3
Lost and Stolen Assets,Finance,239,NA,3
Miscellaneous Errors,Retail,1712,APAC,1
Basic Web-API Attacks,Administrative,504,EMEA,4
Lost and Stolen Assets,Real Estate,2899,APAC,3
Lost and Stolen Assets,Mining,1671,APAC,2
Social Engineering,Utilities,404,NA,3
Basic Web-API Attacks,Agriculture,2419,NA,1
Lost and Stolen Assets,Information,318,EMEA,1
Basic Web-API Attacks,Transportation,1036,APAC,3
Basic Web-API Attacks,Information,977,NA,2
Social Engineering,Manufacturing,194,APAC,1
Social Engineering,Administrative,2245,APAC,1
Privilege Misuse,Information,1816,EMEA,5
Lost and Stolen Assets,Manufacturing,111,APAC,4
Social Engineering,Wholesale Trade,339,NA,1
Basic Web-API Attacks,Entertainment,272,APAC,3
System Intrusion,Transportation,1061,EMEA,4
Social Engineering,Retail,1637,EMEA,1
Social Engineering,Real Estate,2689,EMEA,3
System Intrusion,Retail,2629,APAC,1
Miscellaneous Errors,Healthcare,2061,EMEA,2
Lost and Stolen Assets,Agriculture,261,NA,2
Basic Web-API Attacks,Transportation,2364,EMEA,5
Privilege Misuse,Entertainment,2674,EMEA,1
Basic Web-API Attacks,Healthcare,1920,NA,3
Basic Web-API Attacks,Mining,2936,EMEA,2
Miscellaneous Errors,Utilities,1810,LAC,1
System Intrusion,Public Administration,895,EMEA,5
Lost and Stolen Assets,Mining,519,APAC,5
Lost and Stolen Assets,Manufacturing,822,APAC,3
Social Engineering,Utilities,2359,NA,4
Privilege Misuse,Wholesale Trade,608,EMEA,3
Miscellaneous Errors,Utilities,1137,APAC,5
Denial of Service (DoS),Public Administration,513,LAC,4
Miscellaneous Errors,Finance,632,APAC,3
Denial of Service (DoS),Information,583,APAC,4
System Intrusion,Entertainment,120,LAC,3
System Intrusion,Public Administration,1823,NA,3
System Intrusion,Accommodation,1272,EMEA,1
Lost and Stolen Assets,Transportation,1847,EMEA,1
Basic Web-API Attacks,Accommodation,1468,EMEA,1
System Intrusion,Construction,2035,APAC,4
Social Engineering,Retail,388,EMEA,3
System Intrusion,Information,2478,NA,4
Basic Web-API Attacks,Transportation,1335,APAC,3
Privilege Misuse,Utilities,2769,APAC,1
Lost and Stolen Assets,Transportation,200,APAC,5
Denial of Service (DoS),Transportation,1840,NA,3
Denial of Service (DoS),Construction,2911,EMEA,4
Denial of Service (DoS),Agriculture,2125,APAC,2
Social Engineering,Transportation,202,NA,3
Privilege Misuse,Construction,1395,EMEA,2
Basic Web-API Attacks,Retail,533,APAC,2
Privilege Misuse,Real Estate,1134,EMEA,5
Lost and Stolen Assets,Mining,2241,NA,3
System Intrusion,Retail,1345,NA,3
Lost and Stolen Assets,Finance,2198,EMEA,2
Social Engineering,Wholesale Trade,1733,NA,2
Basic Web-API Attacks,Administrative,436,EMEA,2
System Intrusion,Transportation,1240,APAC,3
Lost and Stolen Assets,Utilities,593,APAC,4
Privilege Misuse,Transportation,346,APAC,2
Lost and Stolen Assets,Wholesale Trade,1880,EMEA,2
Lost and Stolen Assets,Retail,1138,EMEA,3
Privilege Misuse,Public Administration,2318,EMEA,4
Denial of Service (DoS),Real Estate,1183,EMEA,2
Miscellaneous Errors,Transportation,2513,EMEA,1
Basic Web-API Attacks,Transportation,2024,APAC,2
Social Engineering,Administrative,2923,LAC,1
System Intrusion,Agriculture,2156,APAC,5
Miscellaneous Errors,Healthcare,498,EMEA,5
Denial of Service (DoS),Transportation,2265,NA,5
System Intrusion,Utilities,2064,NA,3
Privilege Misuse,Real Estate,2454,APAC,5
Denial of Service (DoS),Accommodation,1322,LAC,4
Lost and Stolen Assets,Entertainment,482,NA,3
Social Engineering,Finance,1322,EMEA,2
Miscellaneous Errors,Utilities,1568,EMEA,2
Social Engineering,Retail,2488,EMEA,3
Lost and Stolen Assets,Accommodation,566,EMEA,5
Lost and Stolen Assets,Real Estate,1462,NA,5
Denial of Service (DoS),Wholesale Trade,2599,NA,1
Basic Web-API Attacks,Utilities,1002,APAC,5
Social Engineering,Transportation,282,EMEA,4
Social Engineering,Professional,661,EMEA,3
Lost and Stolen Assets,Utilities,872,NA,5
Privilege Misuse,Public Administration,1662,APAC,1
System Intrusion,Utilities,1152,EMEA,1
Social Engineering,Healthcare,2223,NA,5
Lost and Stolen Assets,Finance,1477,NA,3
System Intrusion,Agriculture,2841,APAC,3
System Intrusion,Real Estate,2340,APAC,2
Denial of Service (DoS),Public Administration,918,EMEA,5
Privilege Misuse,Manufacturing,2609,NA,4
Lost and Stolen Assets,Transportation,1099,APAC,4
Miscellaneous Errors,Utilities,1414,APAC,5
Social Engineering,Healthcare,1151,APAC,1
Basic Web-API Attacks,Manufacturing,2420,NA,3
Basic Web-API Attacks,Transportation,2128,EMEA,5
Basic Web-API Attacks,Construction,185,EMEA,1
Lost and Stolen Assets,Accommodation,401,LAC,1
Miscellaneous Errors,Agriculture,957,LAC,3
Privilege Misuse,Public Administration,1292,EMEA,4
Social Engineering,Entertainment,736,EMEA,3
Privilege Misuse,Transportation,1104,NA,4
Lost and Stolen Assets,Transportation,669,APAC,4
Miscellaneous Errors,Accommodation,1284,APAC,2
Privilege Misuse,Utilities,1295,APAC,2
Miscellaneous Errors,Manufacturing,2008,EMEA,3
Lost and Stolen Assets,Mining,2301,NA,3
Miscellaneous Errors,Agriculture,1348,APAC,1
Denial of Service (DoS),Retail,1126,APAC,4
Basic Web-API Attacks,Construction,802,EMEA,2
Denial of Service (DoS),Agriculture,1639,NA,4
Privilege Misuse,Utilities,2677,APAC,1
Denial of Service (DoS),Wholesale Trade,2219,APAC,1
Basic Web-API Attacks,Transportation,613,LAC,5
Basic Web-API Attacks,Administrative,110,LAC,1
Miscellaneous Errors,Construction,2193,EMEA,3
Privilege Misuse,Utilities,494,EMEA,2
Denial of Service (DoS),Healthcare,296,EMEA,2
Denial of Service (DoS),Mining,526,NA,1
System Intrusion,Manufacturing,291,APAC,5
Social Engineering,Real Estate,1757,EMEA,1
Denial of Service (DoS),Wholesale Trade,2190,APAC,4
Basic Web-API Attacks,Finance,1141,NA,3
Denial of Service (DoS),Retail,547,NA,4
System Intrusion,Administrative,1523,NA,3
Privilege Misuse,Transportation,155,EMEA,2
System Intrusion,Finance,2328,APAC,4
Privilege Misuse,Utilities,600,NA,2
Social Engineering,Manufacturing,353,EMEA,4
Lost and Stolen Assets,Entertainment,2019,EMEA,2
Denial of Service (DoS),Finance,1870,EMEA,5
Social Engineering,Public Administration,218,EMEA,4
Basic Web-API Attacks,Agriculture,2984,EMEA,4
Social Engineering,Wholesale Trade,2019,NA,1
System Intrusion,Entertainment,514,NA,3
System Intrusion,Professional,1999,NA,2
Miscellaneous Errors,Transportation,2921,EMEA,4
Social Engineering,Transportation,1015,APAC,3
Lost and Stolen Assets,Information,2877,APAC,3
Basic Web-API Attacks,Utilities,309,NA,2
Lost and Stolen Assets,Information,2111,NA,4
Basic Web-API Attacks,Utilities,286,APAC,1
System Intrusion,Utilities,1405,NA,1
System Intrusion,Construction,1366,EMEA,1
System Intrusion,Retail,1322,NA,2
Privilege Misuse,Transportation,902,EMEA,1
Privilege Misuse,Entertainment,963,EMEA,1
System Intrusion,Finance,1889,EMEA,2
Lost and Stolen Assets,Information,414,EMEA,3
Lost and Stolen Assets,Public Administration,2472,APAC,5
Lost and Stolen Assets,Finance,562,EMEA,1
System Intrusion,Utilities,2337,NA,4
Denial of Service (DoS),Transportation,1612,NA,3
Basic Web-API Attacks,Healthcare,309,EMEA,3
Social Engineering,Agriculture,2807,APAC,5
Lost and Stolen Assets,Utilities,1023,EMEA,4
Social Engineering,Accommodation,747,EMEA,2
Miscellaneous Errors,Public Administration,2188,EMEA,1
Privilege Misuse,Public Administration,517,EMEA,1
Miscellaneous Errors,Transportation,2643,APAC,1
Privilege Misuse,Public Administration,721,NA,5
Basic Web-API Attacks,Agriculture,1562,EMEA,5
Privilege Misuse,Public Administration,2948,NA,5
Denial of Service (DoS),Information,2655,NA,4
System Intrusion,Wholesale Trade,509,EMEA,4
Basic Web-API Attacks,Manufacturing,2809,APAC,5
Basic Web-API Attacks,Public Administration,1943,APAC,3
Denial of Service (DoS),Wholesale Trade,938,EMEA,2
Lost and Stolen Assets,Construction,281,NA,5
Basic Web-API Attacks,Entertainment,2848,LAC,3
Social Engineering,Professional,1466,NA,3
Social Engineering,Entertainment,2002,EMEA,4
Social Engineering,Healthcare,572,NA,3
Miscellaneous Errors,Transportation,2275,NA,3
Lost and Stolen Assets,Retail,2096,EMEA,5
Social Engineering,Agriculture,2505,EMEA,4
Basic Web-API Attacks,Utilities,393,EMEA,2
Basic Web-API Attacks,Mining,1771,LAC,5
Basic Web-API Attacks,Accommodation,1914,APAC,3
Lost and Stolen Assets,Professional,1660,APAC,4
Lost and Stolen Assets,Retail,1815,NA,3
Basic Web-API Attacks,Accommodation,2919,EMEA,2
Privilege Misuse,Retail,2567,NA,4
Basic Web-API Attacks,Healthcare,1990,EMEA,3
Lost and Stolen Assets,Transportation,1798,EMEA,4
Basic Web-API Attacks,Public Administration,545,LAC,4
Social Engineering,Retail,2819,NA,2
System Intrusion,Healthcare,379,APAC,1
Social Engineering,Transportation,1100,APAC,4
Privilege Misuse,Real Estate,2445,NA,3
Lost and Stolen Assets,Mining,142,EMEA,1
Basic Web-API Attacks,Retail,299,EMEA,4
System Intrusion,Construction,955,APAC,5
Social Engineering,Retail,2136,LAC,4
System Intrusion,Entertainment,854,APAC,2
System Intrusion,Public Administration,1487,EMEA,1
Lost and Stolen Assets,Agriculture,315,EMEA,2
Privilege Misuse,Utilities,1587,NA,5
Lost and Stolen Assets,Healthcare,2384,APAC,5
Social Engineering,Administrative,620,EMEA,2
System Intrusion,Transportation,2914,LAC,2
Basic Web-API Attacks,Utilities,1268,APAC,2
Miscellaneous Errors,Public Administration,1832,EMEA,4
Privilege Misuse,Entertainment,672,APAC,2
Denial of Service (DoS),Entertainment,997,NA,3
Social Engineering,Manufacturing,2567,APAC,2
Miscellaneous Errors,Real Estate,1932,EMEA,5
Privilege Misuse,Agriculture,448,NA,3
Denial of Service (DoS),Finance,1878,EMEA,3
Social Engineering,Agriculture,466,EMEA,3
Social Engineering,Retail,233,LAC,3
Miscellaneous Errors,Public Administration,1387,EMEA,3
Social Engineering,Utilities,1887,APAC,3
System Intrusion,Public Administration,425,NA,2
System Intrusion,Entertainment,2268,EMEA,1
Basic Web-API Attacks,Utilities,2605,NA,4
Privilege Misuse,Public Administration,2931,APAC,2
Social Engineering,Real Estate,2460,NA,3
Social Engineering,Finance,2089,APAC,5
Basic Web-API Attacks,Accommodation,2133,NA,5
System Intrusion,Accommodation,791,NA,5
Basic Web-API Attacks,Utilities,2179,EMEA,1
Miscellaneous Errors,Finance,1436,APAC,2
Miscellaneous Errors,Wholesale Trade,2198,EMEA,2
Privilege Misuse,Public Administration,1944,EMEA,5
Basic Web-API Attacks,Manufacturing,2396,APAC,5
System Intrusion,Retail,1489,EMEA,5
Lost and Stolen Assets,Wholesale Trade,2895,APAC,5
Miscellaneous Errors,Real Estate,2652,EMEA,2
Lost and Stolen Assets,Utilities,1334,EMEA,2
Miscellaneous Errors,Accommodation,952,NA,2
Privilege Misuse,Utilities,2925,APAC,4
Denial of Service (DoS),Utilities,639,APAC,1
Basic Web-API Attacks,Transportation,799,EMEA,3
Lost and Stolen Assets,Transportation,799,APAC,3
Basic Web-API Attacks,Utilities,1548,APAC,2
Privilege Misuse,Healthcare,760,NA,1
Denial of Service (DoS),Utilities,2469,EMEA,2
System Intrusion,Agriculture,392,APAC,2
System Intrusion,Agriculture,1741,EMEA,5
Denial of Service (DoS),Information,283,APAC,3
Basic Web-API Attacks,Entertainment,2011,EMEA,1
Miscellaneous Errors,Real Estate,2370,NA,4
Lost and Stolen Assets,Public Administration,1334,APAC,3
Basic Web-API Attacks,Information,1433,APAC,3
Denial of Service (DoS),Utilities,835,APAC,2
Social Engineering,Transportation,2712,EMEA,1
Basic Web-API Attacks,Public Administration,1959,EMEA,1
Denial of Service (DoS),Retail,567,EMEA,5
Basic Web-API Attacks,Accommodation,805,APAC,1
